"Incident_Id","Incident Date","city-county","killed","injured"
2242132,"2022-02-26","Houston",0,0
2242146,"2022-02-25","Denton",0,0
2242305,"2022-02-26","Lubbock",0,1
2242322,"2022-02-23","San Antonio",0,0
2242373,"2022-02-26","Orange",0,1
2242383,"2022-02-26","Houston",1,0
2242554,"2022-02-27","Houston",1,0
2242804,"2022-02-27","Abilene",2,0
2242877,"2022-02-27","Austin",0,1
2243164,"2022-02-26","Desoto",0,2
2243218,"2022-02-27","Houston",1,0
2243223,"2022-02-26","Houston",1,0
2243234,"2022-02-27","Texas City",0,1
2243237,"2022-02-27","Houston",0,1
2243243,"2022-02-26","Houston",1,0
2243262,"2022-02-26","Beasley",1,1
2243276,"2022-02-27","Houston",1,0
2243292,"2022-02-27","Houston",0,2
2243305,"2022-02-26","San Antonio",0,1
2243336,"2022-02-25","Houston",0,1
2243448,"2022-02-27","Houston",1,0
2243566,"2022-02-28","San Antonio",1,0
2243770,"2022-02-28","San Antonio",0,1
2243773,"2022-02-28","San Antonio",0,2
2243826,"2022-02-28","San Antonio",1,0
2243873,"2022-02-28","San Antonio",0,1
2244139,"2022-02-27","Porter",1,0
2244144,"2022-02-28","Houston",1,0
2244148,"2022-02-28","Houston",0,1
2244181,"2022-03-01","Donna",1,0
2244209,"2022-02-27","Bishop",0,1
2244314,"2022-02-28","Houston",1,0
2244341,"2022-02-25","Pasadena",0,2
2244434,"2022-02-28","Manvel",0,1
2244462,"2022-03-01","Colleyville",0,0
2244492,"2022-03-01","San Antonio",1,2
2244496,"2022-03-01","San Antonio",0,1
2244558,"2022-02-27","Bridge City",0,1
2244915,"2022-03-01","Humble",0,2
2244941,"2022-03-01","Port Arthur",0,1
2244984,"2022-02-27","Fort Worth",1,0
2245058,"2022-03-01","Killeen",0,0
2245739,"2022-03-02","Austin",1,0
